source_resource,release_or_access_label,accessed_date,filename,file_role,file_size_bytes,md5,sha256,repository_path,notes
PRISM Repurposing Secondary Screen,accessed_2026-06-08; formal release tag not embedded,2026-06-08,secondary-screen-dose-response-curve-parameters.csv,raw_input,264340589,e629b9d505ad3d6bf65fde96f1c54bee,88d1013506e0cd6f191a51c5f3fdd3fb2be54f8afb4e19a5d1f8538e81fbfec8,data/raw/PRISM/secondary-screen-dose-response-curve-parameters.csv,raw file itself is not redistributed; expected local path for rerun
PRISM Repurposing Secondary Screen,accessed_2026-06-08; formal release tag not embedded,2026-06-08,secondary-screen-replicate-collapsed-logfold-change.csv,raw_input,91620551,3d53c46ea6476eaadb4615a266f77110,a358beb9efbc96b3d777cbb0212e4cd724080f17970d241627ccd17855d21939,data/raw/PRISM/secondary-screen-replicate-collapsed-logfold-change.csv,raw file itself is not redistributed; expected local path for rerun
PRISM Repurposing Primary Screen,accessed_2026-06-08; formal release tag not embedded,2026-06-08,primary-screen-replicate-collapsed-logfold-change.csv,raw_input,41254209,47ee90bbca457ed07c238f1803018033,25efc741b372b30d38629cb139a388e989663fba597e55fff5f6c2bb7cdeb75a,data/raw/PRISM/primary-screen-replicate-collapsed-logfold-change.csv,raw file itself is not redistributed; expected local path for rerun
PRISM Repurposing Primary Screen,accessed_2026-06-08; formal release tag not embedded,2026-06-08,primary-screen-replicate-collapsed-treatment-info.csv,raw_input,1185606,ec1da11ef0710944269cdd783b5bd341,d649f207a437c9e9910572c5023d02f68a77c946f6e972c998b057160a3505e6,data/raw/PRISM/primary-screen-replicate-collapsed-treatment-info.csv,raw file itself is not redistributed; expected local path for rerun
DepMap,DepMap Public 26Q1,2026-06-08,OmicsSomaticMutations.csv,raw_input,580755338,d5b0b87ba8852c50da54ba1442b7518f,4d50634373578621bfb9f8ca69b38cfffc3f9b7abcdefd653044a675b856c520,data/OmicsSomaticMutations.csv,required for TP53 refined status; raw file itself is not redistributed; expected local path for rerun
DepMap,DepMap Public 26Q1,2026-06-08,CRISPRGeneEffect.csv,raw_input,440646050,e4f75f92348388459c91401d20a9724e,e610a4cefb13a82b5b256b47eb08b63ff14843f8dbd0fb164bc0a32688e5b89e,data/CRISPRGeneEffect.csv,required for CRISPR dependency re-screen including ATM and XIAP; raw file itself is not redistributed; expected local path for rerun
DepMap,DepMap Public 26Q1,2026-06-08,Model.csv,raw_input,697455,a15d75dffcc5219111ca39598948df9a,ea4e0b2a3bc806f81df62689a5ae75f1a100135727a3d7b8a4c7ccc8815183f8,data/Model.csv,required for lineage annotation in CRISPR re-screen; raw file itself is not redistributed; expected local path for rerun
NCI-ALMANAC/CellMiner,CellMiner Database Version 2.15; data date 2025-09-17,2026-06-08,DTP_NCI60_ALMANAC_COMBO_SCORE.zip,external_source_dataset,1653406,de0114d0730986b4d98f1b190189ee24,161a0801e5a34c1fd1a3ae5b3c743d0b481d979b1c61fb08c75031b980233a0a,data/raw/NCI_ALMANAC/DTP_NCI60_ALMANAC_COMBO_SCORE.zip,CellMiner normalized NCI-ALMANAC combo-score package; package itself is not redistributed; used for Repository Table S13
Curated input (this study),this study; curated annotation table,2026-06-09,curated_compound_annotations.csv,curated_input,347098,b75fe7976482306643e1919ff7065127,1f71f19471e85a53b904c1de36dec7e568236a1fbf4b6f3be3d91cad0b569a38,data/curated_compound_annotations.csv,curated compound annotations used by analysis/01
ChEMBL-derived repository table,Repository Table S3,2026-06-09,S3_Table_ChEMBL_normal_like_assay_audit.xlsx,repository_table,109816,84fb2226db4ed5c75d3f99098d00aa76,29459b90d47623c4aea09871ccb1fe71336f9a837a1cf249d3e19a14176cfe59,tables/S3_Table_ChEMBL_normal_like_assay_audit.xlsx,ChEMBL normal-like assay audit workbook; used for Repository Table S3
